defName	enabled	method	method_t	tScale	baseline	thresholdFactor	direction	source	note
Ability_CastingTime	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
Ability_DetectChancePerEntropy	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
Ability_Duration	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
Ability_EffectRadius	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
Ability_EntropyGain	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
Ability_GoodwillImpact	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
Ability_PsyfocusCost	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
Ability_Range	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
Ability_RequiredPsylink	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
AccuracyLong	True	Logarithmic	2	1	1	1	HigherIsBetter	whitelist	wiki baseline 100%
AccuracyMedium	True	Logarithmic	2	1	1	1	HigherIsBetter	whitelist	wiki baseline 100%
AccuracyShort	True	Logarithmic	2	1	1	1	HigherIsBetter	whitelist	wiki baseline 100%
AccuracyTouch	True	Logarithmic	2	1	1	1	HigherIsBetter	whitelist	wiki baseline 100%
AimingDelayFactor	True	Logarithmic	2	1	1	1	LowerIsBetter	auto	wiki/default multiplier 100%
AnimalGatherSpeed	True	Logarithmic	2	1	1	1	HigherIsBetter	auto	wiki baseline 100%
AnimalGatherYield	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	wiki baseline 100%
AnimalProductsSellImprovement	False	Logarithmic	2	1	1	1	HigherIsBetter	blacklist	fallback baseline 100%
AnimalsLearningFactor	True	Logarithmic	2	1	1	1	HigherIsBetter	auto	fallback baseline 100%
